dataset,model,normalization,k,alpha,reg_p,beta,drop_p,xi,eta,varied_param,varied_value,precision,recall,ndcg,diversity,novelty
amazon_reviews_books,combine,LAE,5,0.0,20,0.3,0.5,0.3,10,alpha,0.0,0.0006666666666666668,6.485084306095979e-06,0.0007132875491150919,0.6618491434984569,11.931580663252173
amazon_reviews_books,combine,LAE,10,0.0,20,0.3,0.5,0.3,10,alpha,0.0,0.0010000000000000002,5.741461305663641e-05,0.000951967626907582,0.7307340422848884,12.0589129924061
amazon_reviews_books,combine,LAE,20,0.0,20,0.3,0.5,0.3,10,alpha,0.0,0.0011666666666666668,0.0019644853201273432,0.00145745363143868,0.8107216804959325,12.09088291950686
amazon_reviews_books,combine,LAE,5,0.1,20,0.3,0.5,0.3,10,alpha,0.1,0.0006666666666666668,6.485084306095979e-06,0.0005652670087893602,0.04414354434850798,11.867419263279094
amazon_reviews_books,combine,LAE,10,0.1,20,0.3,0.5,0.3,10,alpha,0.1,0.0010000000000000002,5.741461305663641e-05,0.0008559124244925339,0.04735013913063679,11.865551092442638
amazon_reviews_books,combine,LAE,20,0.1,20,0.3,0.5,0.3,10,alpha,0.1,0.0010000000000000002,0.00029781865346067683,0.0008932133863738827,0.2698747302473248,11.867293448695403
amazon_reviews_books,combine,LAE,5,0.2,20,0.3,0.5,0.3,10,alpha,0.2,0.0006666666666666668,6.485084306095979e-06,0.00048689449947568816,0.043044301595687076,11.868589188280538
amazon_reviews_books,combine,LAE,10,0.2,20,0.3,0.5,0.3,10,alpha,0.2,0.0006666666666666668,5.092952875054043e-05,0.0005473986210210935,0.04717623044298174,11.869840817447926
amazon_reviews_books,combine,LAE,20,0.2,20,0.3,0.5,0.3,10,alpha,0.2,0.0006666666666666668,0.00013981841763942933,0.0005926802950993333,0.2662033070452515,11.875507986204298
amazon_reviews_books,combine,LAE,5,0.30000000000000004,20,0.3,0.5,0.3,10,alpha,0.30000000000000004,0.0,0.0,0.0,0.04025185669356571,11.874652346617237
amazon_reviews_books,combine,LAE,10,0.30000000000000004,20,0.3,0.5,0.3,10,alpha,0.30000000000000004,0.0,0.0,0.0,0.04375397896977952,11.875797209119881
amazon_reviews_books,combine,LAE,20,0.30000000000000004,20,0.3,0.5,0.3,10,alpha,0.30000000000000004,0.0003333333333333334,8.888888888888889e-05,0.00022982500431042608,0.26305682217072657,11.879099465374571
amazon_reviews_books,combine,LAE,5,0.4,20,0.3,0.5,0.3,10,alpha,0.4,0.0,0.0,0.0,0.0419358706148583,11.878828788288232
amazon_reviews_books,combine,LAE,10,0.4,20,0.3,0.5,0.3,10,alpha,0.4,0.0,0.0,0.0,0.044186807306518715,11.879388688290154
amazon_reviews_books,combine,LAE,20,0.4,20,0.3,0.5,0.3,10,alpha,0.4,0.0003333333333333334,8.888888888888889e-05,0.0002414920347378847,0.263663971653293,11.88363756121247
amazon_reviews_books,combine,LAE,5,0.5,20,0.3,0.5,0.3,10,alpha,0.5,0.0,0.0,0.0,0.03853350168779612,11.88389846329448
amazon_reviews_books,combine,LAE,10,0.5,20,0.3,0.5,0.3,10,alpha,0.5,0.0,0.0,0.0,0.04485982852412071,11.883678413295444
amazon_reviews_books,combine,LAE,20,0.5,20,0.3,0.5,0.3,10,alpha,0.5,0.0001666666666666667,4.4444444444444447e-05,0.00011354324085327503,0.26361512957603855,11.886339065382263
amazon_reviews_books,combine,LAE,5,0.6000000000000001,20,0.3,0.5,0.3,10,alpha,0.6000000000000001,0.0,0.0,0.0,0.038464466094067264,11.886238313297365
amazon_reviews_books,combine,LAE,10,0.6000000000000001,20,0.3,0.5,0.3,10,alpha,0.6000000000000001,0.0,0.0,0.0,0.044619003061995795,11.886741571632141
amazon_reviews_books,combine,LAE,20,0.6000000000000001,20,0.3,0.5,0.3,10,alpha,0.6000000000000001,0.0001666666666666667,4.4444444444444447e-05,0.00011354324085327503,0.263059363765976,11.889040569552053
amazon_reviews_books,combine,LAE,5,0.7000000000000001,20,0.3,0.5,0.3,10,alpha,0.7000000000000001,0.0,0.0,0.0,0.037326394906609564,11.889748088301694
amazon_reviews_books,combine,LAE,10,0.7000000000000001,20,0.3,0.5,0.3,10,alpha,0.7000000000000001,0.0,0.0,0.0,0.04260257155037002,11.889081421635025
amazon_reviews_books,combine,LAE,20,0.7000000000000001,20,0.3,0.5,0.3,10,alpha,0.7000000000000001,0.0003333333333333334,0.00010191570881226054,0.00022100820650763502,0.2612088074495414,11.890405482053735
amazon_reviews_books,combine,LAE,5,0.8,20,0.3,0.5,0.3,10,alpha,0.8,0.0,0.0,0.0,0.03591911977096024,11.891697963304097
amazon_reviews_books,combine,LAE,10,0.8,20,0.3,0.5,0.3,10,alpha,0.8,0.0,0.0,0.0,0.0417474488927934,11.890056359136228
amazon_reviews_books,combine,LAE,20,0.8,20,0.3,0.5,0.3,10,alpha,0.8,0.0003333333333333334,0.00010191570881226054,0.00022133754468100776,0.26134283570053773,11.890990444554458
amazon_reviews_books,combine,LAE,5,0.9,20,0.3,0.5,0.3,10,alpha,0.9,0.0,0.0,0.0,0.03591911977096024,11.891697963304097
amazon_reviews_books,combine,LAE,10,0.9,20,0.3,0.5,0.3,10,alpha,0.9,0.0,0.0,0.0,0.04197076138359055,11.890836309137187
amazon_reviews_books,combine,LAE,20,0.9,20,0.3,0.5,0.3,10,alpha,0.9,0.0,0.0,0.0,0.26131424022132876,11.891380419554938
amazon_reviews_books,combine,LAE,5,1.0,20,0.3,0.5,0.3,10,alpha,1.0,0.0,0.0,0.0,0.03591911977096024,11.891697963304097
amazon_reviews_books,combine,LAE,10,1.0,20,0.3,0.5,0.3,10,alpha,1.0,0.0003333333333333334,5.747126436781609e-05,0.0002613275632622511,0.04192125995083014,11.890502975803857
amazon_reviews_books,combine,LAE,20,1.0,20,0.3,0.5,0.3,10,alpha,1.0,0.0001666666666666667,5.747126436781609e-05,0.00016865227658205686,0.260127077601289,11.89121375288827
amazon_reviews_books,combine,LAE,5,0.2,5,0.3,0.5,0.3,10,reg_p,5.0,0.0,0.0,0.0,0.040675039220972986,11.876715504953935
amazon_reviews_books,combine,LAE,10,0.2,5,0.3,0.5,0.3,10,reg_p,5.0,0.0003333333333333334,4.4444444444444447e-05,0.00021206929399650572,0.04739576684461258,11.87565886328679
amazon_reviews_books,combine,LAE,20,0.2,5,0.3,0.5,0.3,10,reg_p,5.0,0.0003333333333333334,8.888888888888889e-05,0.0002552292976510113,0.2685379539061815,11.879225279958264
amazon_reviews_books,combine,LAE,5,0.2,10,0.3,0.5,0.3,10,reg_p,10.0,0.0,0.0,0.0,0.04308637711306934,11.870702471614834
amazon_reviews_books,combine,LAE,10,0.2,10,0.3,0.5,0.3,10,reg_p,10.0,0.0,0.0,0.0,0.04843335351963641,11.872262371616756
amazon_reviews_books,combine,LAE,20,0.2,10,0.3,0.5,0.3,10,reg_p,10.0,0.0001666666666666667,5.747126436781609e-05,0.00012794879388460968,0.2680990567107191,11.876592948705019
amazon_reviews_books,combine,LAE,5,0.2,20,0.3,0.5,0.3,10,reg_p,20.0,0.0006666666666666668,6.485084306095979e-06,0.00048689449947568816,0.043044301595687076,11.868589188280538
amazon_reviews_books,combine,LAE,10,0.2,20,0.3,0.5,0.3,10,reg_p,20.0,0.0006666666666666668,5.092952875054043e-05,0.0005473986210210935,0.04717623044298174,11.869840817447926
amazon_reviews_books,combine,LAE,20,0.2,20,0.3,0.5,0.3,10,reg_p,20.0,0.0006666666666666668,0.00013981841763942933,0.0005926802950993333,0.2662033070452515,11.875507986204298
amazon_reviews_books,combine,LAE,5,0.2,20,0.1,0.5,0.3,10,beta,0.1,0.0,0.0,0.0,0.04275304377973601,11.872262371616756
amazon_reviews_books,combine,LAE,10,0.2,20,0.1,0.5,0.3,10,beta,0.1,0.0,0.0,0.0,0.04631697812616489,11.87401725911892
amazon_reviews_books,combine,LAE,20,0.2,20,0.1,0.5,0.3,10,beta,0.1,0.0,0.0,0.0,0.2652333653168123,11.878445329957302
amazon_reviews_books,combine,LAE,5,0.2,20,0.3,0.5,0.3,10,beta,0.3,0.0006666666666666668,6.485084306095979e-06,0.00048689449947568816,0.043044301595687076,11.868589188280538
amazon_reviews_books,combine,LAE,10,0.2,20,0.3,0.5,0.3,10,beta,0.3,0.0006666666666666668,5.092952875054043e-05,0.0005473986210210935,0.04717623044298174,11.869840817447926
amazon_reviews_books,combine,LAE,20,0.2,20,0.3,0.5,0.3,10,beta,0.3,0.0006666666666666668,0.00013981841763942933,0.0005926802950993333,0.2662033070452515,11.875507986204298
amazon_reviews_books,combine,LAE,5,0.2,20,0.5,0.5,0.3,10,beta,0.5,0.0006666666666666668,6.485084306095979e-06,0.0005652670087893602,0.04277719179993684,11.868865879946725
amazon_reviews_books,combine,LAE,10,0.2,20,0.5,0.5,0.3,10,beta,0.5,0.0006666666666666668,5.092952875054043e-05,0.0006113660174946671,0.046770240369825966,11.868167634111709
amazon_reviews_books,combine,LAE,20,0.2,20,0.5,0.5,0.3,10,beta,0.5,0.0006666666666666668,0.00010185905750108086,0.0006449925888631479,0.2685987856803332,11.87268066745081
amazon_reviews_books,combine,LAE,5,0.2,20,0.3,0.3,0.3,10,drop_p,0.3,0.0006666666666666668,6.485084306095979e-06,0.00048689449947568816,0.043210968262353745,11.868589188280538
amazon_reviews_books,combine,LAE,10,0.2,20,0.3,0.3,0.3,10,drop_p,0.3,0.0003333333333333334,6.485084306095979e-06,0.00031596121456516925,0.04717623044298174,11.869840817447926
amazon_reviews_books,combine,LAE,20,0.2,20,0.3,0.3,0.3,10,drop_p,0.3,0.0001666666666666667,6.485084306095979e-06,0.0002039110512601062,0.2662033070452515,11.875507986204298
amazon_reviews_books,combine,LAE,5,0.2,20,0.3,0.5,0.3,10,drop_p,0.5,0.0006666666666666668,6.485084306095979e-06,0.00048689449947568816,0.043044301595687076,11.868589188280538
amazon_reviews_books,combine,LAE,10,0.2,20,0.3,0.5,0.3,10,drop_p,0.5,0.0006666666666666668,5.092952875054043e-05,0.0005473986210210935,0.04717623044298174,11.869840817447926
amazon_reviews_books,combine,LAE,20,0.2,20,0.3,0.5,0.3,10,drop_p,0.5,0.0006666666666666668,0.00013981841763942933,0.0005926802950993333,0.2662033070452515,11.875507986204298
amazon_reviews_books,combine,LAE,5,0.2,20,0.3,0.7,0.3,10,drop_p,0.7,0.0006666666666666668,6.485084306095979e-06,0.00048689449947568816,0.043044301595687076,11.868589188280538
amazon_reviews_books,combine,LAE,10,0.2,20,0.3,0.7,0.3,10,drop_p,0.7,0.0006666666666666668,5.092952875054043e-05,0.0005473986210210935,0.045001122218487004,11.869255854947205
amazon_reviews_books,combine,LAE,20,0.2,20,0.3,0.7,0.3,10,drop_p,0.7,0.0005000000000000001,9.537397319498487e-05,0.00046681643745228707,0.26510281718452594,11.875215504953937
amazon_reviews_books,combine,LAE,5,0.2,20,0.3,0.5,0.1,10,xi,0.1,0.0006666666666666668,6.485084306095979e-06,0.00048689449947568816,0.043044301595687076,11.868589188280538
amazon_reviews_books,combine,LAE,10,0.2,20,0.3,0.5,0.1,10,xi,0.1,0.0006666666666666668,5.092952875054043e-05,0.0005473986210210935,0.04717623044298174,11.869840817447926
amazon_reviews_books,combine,LAE,20,0.2,20,0.3,0.5,0.1,10,xi,0.1,0.0006666666666666668,0.00013981841763942933,0.0005926802950993333,0.2662033070452515,11.875507986204298
amazon_reviews_books,combine,LAE,5,0.2,20,0.3,0.5,0.3,10,xi,0.3,0.0006666666666666668,6.485084306095979e-06,0.00048689449947568816,0.043044301595687076,11.868589188280538
amazon_reviews_books,combine,LAE,10,0.2,20,0.3,0.5,0.3,10,xi,0.3,0.0006666666666666668,5.092952875054043e-05,0.0005473986210210935,0.04717623044298174,11.869840817447926
amazon_reviews_books,combine,LAE,20,0.2,20,0.3,0.5,0.3,10,xi,0.3,0.0006666666666666668,0.00013981841763942933,0.0005926802950993333,0.2662033070452515,11.875507986204298
amazon_reviews_books,combine,LAE,5,0.2,20,0.3,0.5,0.5,10,xi,0.5,0.0006666666666666668,6.485084306095979e-06,0.00048689449947568816,0.043044301595687076,11.868589188280538
amazon_reviews_books,combine,LAE,10,0.2,20,0.3,0.5,0.5,10,xi,0.5,0.0006666666666666668,5.092952875054043e-05,0.0005473986210210935,0.04717623044298174,11.869840817447926
amazon_reviews_books,combine,LAE,20,0.2,20,0.3,0.5,0.5,10,xi,0.5,0.0006666666666666668,0.00013981841763942933,0.0005926802950993333,0.2662033070452515,11.875507986204298
amazon_reviews_books,combine,LAE,5,0.2,20,0.3,0.5,0.3,5,eta,5.0,0.0006666666666666668,6.485084306095979e-06,0.00048689449947568816,0.043044301595687076,11.868589188280538
amazon_reviews_books,combine,LAE,10,0.2,20,0.3,0.5,0.3,5,eta,5.0,0.0006666666666666668,5.092952875054043e-05,0.0005473986210210935,0.04717623044298174,11.869840817447926
